name,data
lopsus,"[""""]"
lordsawar,"[""""]"
pcsx2,"[""  perltidy""]"
pcsx2-plugin-usbqemu-wheel,"[""  perltidy""]"
haspd,"[""  perltidy""]"
webserver-common,"[""  perltidy""]"
kernel-image-mcom02,"[""  perltidy""]"
kernel-image-mp,"[""  perltidy""]"
kernel-image-rpi-def,"[""  perltidy""]"
kernel-image-rpi-un,"[""  perltidy""]"
python3-module-py,"[""  perltidy""]"
luajit-ppc64le,"[""  perltidy""]"
postgresql14-tds_fdw,"[""  perltidy""]"
postgresql15-iplike,"[""  perltidy""]"
postgresql15-repmgr,"[""  perltidy""]"
postgresql15-tds_fdw,"[""  perltidy""]"
postgresql_autodoc,"[""  perltidy""]"
postgrey,"[""  perltidy""]"
potrace,"[""  perltidy""]"
pound,"[""  perltidy""]"
povray,"[""  perltidy""]"
powdertoy,"[""  perltidy""]"
power-profiles-daemon,"[""  perltidy""]"
powerline-go,"[""  perltidy""]"
powermanga,"[""  perltidy""]"
powermgmt-base,"[""  perltidy""]"
powermock,"[""  perltidy""]"
powerpc-utils,"[""  perltidy""]"
powershell,"[""  perltidy""]"
powertop,"[""  perltidy""]"
powertop1,"[""  perltidy""]"
ppmtocpva,"[""  perltidy""]"
ppmtomd,"[""  perltidy""]"
ppp,"[""  perltidy""]"
ppp-common,"[""  perltidy""]"
pps-tools,"[""  perltidy""]"
ghostscript,"[""  perltidy""]"
ghostscript9,"[""  perltidy""]"
loudmouth,"[""""]"
lout,"[""""]"
gitea-act,"[""  perltidy""]"
glances,"[""  perltidy""]"
love,"[""""]"
gopls,"[""  perltidy""]"
lp_solve,"[""""]"
perl-Filter-Template,[]
perl-Filter-signatures,[]
perl-Finance-Currency-Convert-Yahoo,[]
lpairs,"[""""]"
lpg,"[""""]"
lrzip,"[""""]"
lrzsz,"["""","" rzsz""]"
ls4sweep,"[""""]"
gtkwave,"[""  perltidy""]"
lsb,"["""",""  lsb-core-amd64"",""  lsb-core-noarch"",""  lsb-cxx"",""  lsb-desktop-amd64"",""  lsb-desktop-noarch"",""  lsb-graphics-amd64"",""  lsb-graphics-noarch"",""  lsb-imaging-noarch"",""  lsb-languages-noarch"",""  lsb-printing"",""  lsb-trialuse-noarch""]"
handbrake,"[""  perltidy""]"
lsb-init,"[""""]"
lsb-release,"[""""]"
lsdbus,"[""""]"
lsdvd,"[""""]"
lshw,"[""""]"
lside,"[""""]"
installer-distro-alt-server-v,"[""  perltidy""]"
lsmount,"[""""]"
lsnipes,"[""""]"
installer-distro-simply-linux,"[""  perltidy""]"
lmbench,[]
installer-feature-simply-livecd,"[""  perltidy""]"
lsof,"[""""]"
lsofgraph,"[""""]"
lsp-plugins,"[""""]"
lss,"[""""]"
lsscsi,"[""""]"
lstorrent,"[""""]"
isbc-pkcs11,"[""  perltidy""]"
lsyncd,"[""""]"
iverilog,"[""  perltidy""]"
lterm,"[""""]"
kde5-kcm-grub2,"[""  perltidy""]"
ltp-alt-lists,"[""""]"
keepassxc,"[""  perltidy""]"
ltrace,"["""",""\tavplay"",""\tavprobe""]"
ltris,"["""",""  firefox-esr-kk"",""  firefox-esr-ru"",""  firefox-esr-uk"","" webclient""]"
heroes-sdl,"["""","" heroes""]"
heroes-sound-effects,"[""""]"
heroes-sound-tracks,"[""""]"
herrie,"[""""]"
klavaro,"[""  perltidy""]"
hunspell-fr,"[""""]"
klibc,"[""  perltidy""]"
hunspell-fur,"[""""]"
pptp-client,"[""  perltidy""]"
pptpd,"[""  perltidy""]"
hunspell-fy,"[""""]"
pqiv,"[""  perltidy""]"
praat,"[""  perltidy""]"
pragha,"[""  perltidy""]"
prboom,"[""  perltidy""]"
prboom-plus,"[""  perltidy""]"
prelink,"[""  perltidy""]"
premake,"[""  perltidy""]"
prescanic,"[""  perltidy""]"
priconfig,"[""  perltidy""]"
primme,"[""  perltidy""]"
printer-driver-Xerox-Phaser-3200MFP,"[""  perltidy""]"
printer-driver-capt,"[""  perltidy""]"
printer-driver-foo2kyo,"[""  perltidy""]"
printer-driver-lbp660,"[""  perltidy""]"
printer-driver-lxx74,"[""  perltidy""]"
printer-driver-magicolor2430dl,"[""  perltidy""]"
printer-driver-magicolor2530dl,"[""  perltidy""]"
printer-driver-magicolor5430dl,"[""  perltidy""]"
printer-driver-magicolor5440dl,"[""  perltidy""]"
printer-driver-oki,"[""  perltidy""]"
printer-driver-ptouch,"[""  perltidy""]"
printer-driver-rname,"[""  perltidy""]"
NetworkManager-applet-gtk,"["""",""  NetworkManager-gnome""]"
alsa-ucm-conf,"[""""]"
apache2,"["""",""  %apache_configs_dirs_name"",""  %apache_configs_name"",""  %name-libdb"",""  apache2-common"",""  apache2-config-tools"",""  apache2-configs-dirs2"",""  apache2-configs2"",""  apache2-httpd"",""  apache2-httpd-prefork-like"",""  apache2-mmn"",""  apache2-mod_authnz_ldap"",""  httpd"",""  httpd2"","" %a_sbindir/%a_dname in subpackage"","" %apache_configs_name to 2.2.0"","" %name-httpd-prefork-like"","" /etc/httpd2"","" /etc/httpd2/conf"","" /etc/httpd2/conf/addon.d"","" /etc/httpd2/conf/extra-available"","" /etc/httpd2/conf/extra-enabled"","" /etc/httpd2/conf/extra-start.d"","" /etc/httpd2/conf/include"","" /etc/httpd2/conf/mods-available"","" /etc/httpd2/conf/mods-enabled"","" /etc/httpd2/conf/mods-start.d"","" /etc/httpd2/conf/ports-available"","" /etc/httpd2/conf/ports-enabled"","" /etc/httpd2/conf/ports-start.d"","" /etc/httpd2/conf/sites-available"","" /etc/httpd2/conf/sites-enabled"","" /etc/httpd2/conf/sites-start.d"","" /etc/httpd2/modules"","" /usr/include/apache2"","" /usr/lib64/apache2"","" /usr/lib64/apache2/build"","" /usr/lib64/apache2/modules"","" /usr/sbin/httpd2"","" /usr/share/apache2"","" /usr/share/apache2/cgi-bin"","" /usr/share/doc/apache2-2.4.57"","" /usr/share/doc/apache2-2.4.57/manual"","" /var/cache/httpd2"","" /var/cache/httpd2/mod_cache_disk"","" /var/cache/httpd2/mod_ssl"","" /var/lib/dav"","" /var/lock/httpd2"","" /var/log/httpd2"","" /var/run/httpd2"","" /var/spool/apache2"","" /var/spool/apache2/sessions"","" /var/spool/apache2/tmp"","" /var/spool/apache2/uploads"","" /var/www/apache2"","" /var/www/apache2/cgi-bin"","" /var/www/apache2/error"","" /var/www/apache2/error/include"","" /var/www/apache2/html"","" /var/www/apache2/icons"","" /var/www/apache2/icons/small"","" apache2-init"","" apache2-libapr apache2-libapr-devel apache2-libapr-devel apache2-libaprutil apache2-libaprutil-devel apache2-libaprutil-devel"","" apache2-mod_disk_cache"","" apache2-mod_macro"","" secureweb-devel"","" webserver"","" webserver-cgi-bin"","" webserver-cgi-bin-printenv"","" webserver-cgi-bin-test-cgi"","" webserver-html"","" webserver-icons""]"
apache2-mod_php8.0,"["""",""  apache2-mod_php"",""  php-engine""]"
apache2-mod_php8.1,"["""",""  apache2-mod_php"",""  php-engine""]"
apache2-mod_php8.2,"["""",""  apache2-mod_php"",""  php-engine""]"
bird2,"[""""]"
bootloader-utils,"[""""]"
branding-simply-linux,"["""",""   altlinux-release-slinux  branding-alt-slinux-release"",""  alt-license-theme"",""  alt-notes-slinux"",""  altlinux-release"",""  branding-alt-slinux-browser-qt  branding-altlinux-slinux-browser-qt"",""  branding-alt-slinux-graphics design-graphics-slinux"",""  design-graphics"",""  fedora-release"",""  indexhtml indexhtml-slinux"",""  indexhtml-Desktop"",""  redhat-release"",""  system-release"","" alt-license-slinux alt-notes-slinux"","" alterator-icons design-alterator design-alterator-slinux"","" altlinux-release fedora-release redhat-release  branding-alt-slinux-release"","" design-alterator-browser-slinux  branding-alt-slinux-browser-qt branding-altlinux-slinux-browser-qt"","" design-alterator-server design-alterator-desktop design-altertor-browser-desktop  design-altertor-browser-server branding-altlinux-backup-server-alterator"","" design-bootloader-system-slinux design-bootloader-livecd-slinux design-bootloader-livecd-slinux design-bootloader-slinux branding-alt-slinux-bootloader"","" design-graphics-slinux  branding-alt-slinux-graphics"","" indexhtml-desktop indexhtml-Desktop"","" plymouth-theme-slinux"","" xfce-settings-lite xfce-settings-school-lite""]"
btrfs-progs,"["""",""\tbtrfs-progs-devel""]"
cups,"["""",""  cups-common"",""  cups-ddk"",""  cups-devel"",""  cups-libs"",""  cups-ppd""]"
printer-driver-splix,"[""  perltidy""]"
printer-drivers,"[""  perltidy""]"
printer-testpages,"[""  perltidy""]"
printoxx,"[""  perltidy""]"
printrun,"[""  perltidy""]"
privoxy,"[""  perltidy""]"
procbench,"[""  perltidy""]"
procdump,"[""  perltidy""]"
procinfo-ng,"[""  perltidy""]"
procmail,"[""  perltidy""]"
procyon,"[""  perltidy""]"
profanity,"[""  perltidy""]"
professor-is-missing,"[""  perltidy""]"
profile-sync-daemon,"[""  perltidy""]"
proftpd,"[""  perltidy""]"
progress,"[""  perltidy""]"
progsreiserfs,"[""  perltidy""]"
proguard,"[""  perltidy""]"
proj-datumgrid,"[""  perltidy""]"
projectdb,"[""  perltidy""]"
projectlibre,"[""  perltidy""]"
prometeus,"[""  perltidy""]"
prometheus,"[""  perltidy""]"
prometheus-alertmanager,"[""  perltidy""]"
prometheus-blackbox_exporter,"[""  perltidy""]"
prometheus-jmx-exporter,"[""  perltidy""]"
prometheus-node_exporter,"[""  perltidy""]"
prometheus-simpleclient-java,"[""  perltidy""]"
prometheus-snmp_exporter,"[""  perltidy""]"
fcl,[]
ffmpeg,"[""\tavplay"",""\tavprobe""]"
freerdp,"["" dfbfreerdp"","" freerdp-devel""]"
freeswitch,[]
fwupd,"[""  fwupd-labels"","" fwupdate""]"
gav,[]
gerbera,[]
golang,"[""   golang-godoc"",""  go"",""  golang-godoc""]"
gpupdate,[]
grafana,[]
guile-evms,[]
gz-cmake,[]
gz-common,[]
gz-fuel-tools,[]
gz-gui,[]
gz-math,[]
gz-msgs,[]
gz-physics,[]
gz-plugin,[]
gz-rendering,[]
python3-module-protobuf-socket-rpc,"[""""]"
python3-module-protobuf3,"["""","" python3(protobuf3)""]"
python3-module-proxmoxer,"["""","" python2.7(tests)`."","" python3(proxmoxer)""]"
gem-kgio,"["""",""       ruby-kgio"",""      ruby-kgio""]"
kde5-kblog,[]
kde5-kcolorpicker,[]
kde5-kdb,"["" kde5-kdb-sql-driver""]"
kernel-image-ovz-el7,"[""  /usr/include/linux-3.10.0-ovz-el7/include"",""  kernel"",""  kernel-devel"",""  kernel-devel-ovz"",""  kernel-devel-ovz-el7"",""  kernel-doc-ovz"",""  kernel-docbook-ovz"",""  kernel-headers"",""  kernel-headers-ovz"",""  kernel-man-ovz"",""  kernel-modules-md-ovz-el7"",""  kernel-src-ovz"",""  vzkernel"","" vzkernel""]"
0ad,[]
0ad-data,[]
1C_Enterprise82-monit,[]
1c-preinstall,[]
389-ds-base,"[""  libsvrcore"",""  libsvrcore-devel"","" 389-adminutil"","" 389-console"","" 389-ds-console"","" 389-dsgw""]"
3proxy,[]
lrmi,[]
4th,"[""  4th-doc"",""  4th-manual"",""  4th-manual-txt""]"
4th-doc-pdf,"[""  4th-doc"",""  4th-manual"",""  4th-manual-pdf""]"
4ti2,"[""       bundled(gnulib)""]"
7-zip,"[""    7zz""]"
7colors,[]
7kaa,[]
9wm,[]
AGReader,[]
AcetoneISO2,"["" acetoneiso2""]"
AlephOne,[]
Ants,[]
AriaMaestosa,[]
ArxLibertatis,[]
BareBonesBrowserLaunch,[]
BlockHosts,[]
CBFlib,[]
CGenius,[]
CQRlib,[]
CTK,[]
cups-filters,"["""","" foomatic-filters"","" ghostscript-cups""]"
dpkg,"[""""]"
drbd-utils,"["""",""  drbd-utils-bash-completion""]"
dtc,"[""""]"
duf,"[""""]"
CTKAppLauncherLib,[]
extra-cmake-modules,"[""""]"
fcoe-utils,[]
CUnit,[]
ffmpeg-plugin-browser,"["""",""\tavplay"",""\tavprobe""]"
CVector,[]
firefox-esr,"["""",""  firefox-esr-kk"",""  firefox-esr-ru"",""  firefox-esr-uk"","" webclient""]"
CardManager,[]
firmware-linux,"["""",""  firmware-amd-ucode"",""  firmware-carl9170-1.9.4 firmware-i2400m firmware-rt2870 firmware-rt3090"","" firmware-amd-ucode"","" firmware-carl9170-1.9.4 firmware-i2400m firmware-rt2870 firmware-rt3090"","" firmware-iwl1000"","" firmware-iwl3945 firmware-iwl4965 firmware-iwl5000 firmware-iwl5150"","" firmware-iwl6000 firmware-iwl6050"","" firmware-libertas-sd8686 firmware-libertas-usb8388"","" firmware-ql2100 firmware-ql2200 firmware-ql2300 firmware-ql2322 firmware-ql2400 firmware-ql2500"","" firmware-rt61pci firmware-rt73usb"","" linux-firmware""]"
